Song,Artist
Song,Artist
The Verve, Bitter Sweet Symphony, 
Arctic Monkeys, Mardy Bum, 
John Frusciante, Unreachable, 
The Strokes, Games, 
The Strokes, Chances, 
The Strokes, Call It Fate Call It Karma, 
Headie One, 18HUNNA, 
Drake, Knife Talk, 
The Strokes, Electricityscape, 
The Strokes, Vision of Division, 
The Strokes, Red Light, 
The Strokes, Soma, 
The Strokes, Gratisfaction, 
The Strokes, Take It Or Leave It, 
Mitski, First Love/Late Spring, 
The Strokes, One Way Trigger, 
Lady Gaga, Bad Romance, 
Lady Gaga, Paparazzi, 
David Guetta, Titanium, 
The Strokes, Juicebox, 
Mitski, A Pearl, 
Red Hot Chili Peppers, This Is the Kitt, 
Red Hot Chili Peppers, Catch My Death, 
Red Hot Chili Peppers, Magpies on Fire, 
The Strokes, Happy Ending, 
The Strokes, Call Me Back, 
Albert Hammond Jr., Tea for Two, 
Adele, Can I Get It, 
Adele, Oh My God, 
Radiohead, Exit Music (For A Film), 
Lana Del Rey, Summertime Sadness, 
The Strokes, Trying Your Luck, 
Radiohead, Jigsaw Falling Into Place, 
The Strokes, The Modern Age, 
Harry Styles, Sign of the Times, 
The Strokes, Alone Together, 
noah2413, Radiohead - Weird Fishes / Arpeggi, 
Gold Coast Music, Lewis Capaldi - Forever (Lyrics), 
Dean Lewis, Be Alright, 
The Band CAMINO, What I Want, 
The Strokes, Barely Legal, 
Twenty One Pilots, Ride, 
Coldplay, Paradise, 
The Strokes, The Way It Is, 
Radiohead, All I Need, 
Radiohead, Reckoner, 
Radiohead, Nude, 
Drake, Wants and Needs, 
Exhibition, No One There, 
Julian Casablancas, 30 Minute Boyfriend, 
The Strokes, Mercy Mercy Me (The Ecology), 
The Strokes, When It Started, 
The Strokes, Oblivius, 
The Weeknd, Sacrifice, 
Foster the People, Imagination, 
The Voidz, Lazy Boy, 
The Strokes, Last Nite, 
The Strokes, Two Kinds of Happiness, 
Taylor Swift, willow, 
Marvin Gaye, Mercy Mercy Me (The Ecology), 
The Last Shadow Puppets, My Mistakes Were Made For You, 
The Unlikely Candidates, Novocaine, 
Arctic Monkeys, A Certain Romance, 
Arctic Monkeys, Cornerstone, 
Coldplay, Talk, 
llllphaserllll, Red Hot Chili Peppers - Rivers Of Avalon - B-Side [HD], 
llllphaserllll, Red Hot Chili Peppers - Out Of Range - B-Side [HD], 
Lewis Capaldi, Grace, 
The Strokes, Partners In Crime, 
Cage The Elephant, Trouble, 
Red Hot Chili Peppers, Black Summer, 
Frank Ocean, Lost, 
Liam Gallagher, Everything's Electric, 
Drake, Hold On We're Going Home, 
Kanye West, Father Stretch My Hands Pt. 1, 
llllphaserllll, Red Hot Chili Peppers - Gong Li - B-Side [HD], 
Red Hot Chili Peppers, Poster Child, 
Red Hot Chili Peppers, Go Robot, 
The Technicolors, Neon Roses, 
Dave, We're All Alone, 
John Frusciante, Central, 
Red Hot Chili Peppers, Not the One, 
Red Hot Chili Peppers, Here Ever After, 
Red Hot Chili Peppers, Aquatic Mouth Dance, 
Red Hot Chili Peppers, The Great Apes, 
Red Hot Chili Peppers, It's Only Natural, 
Red Hot Chili Peppers, She's a Lover, 
Red Hot Chili Peppers, Whatchu Thinkin', 
Red Hot Chili Peppers, White Braids & Pillow Chair, 
Red Hot Chili Peppers, Veronica, 
Red Hot Chili Peppers, Let 'Em Cry, 
Red Hot Chili Peppers, The Heavy Wing, 
Red Hot Chili Peppers, Tangelo, 
TheBestofJK, Outer Space - Unreleased RHCP Song - The Getaway, 
TheBestofJK, Kaly (On The Bright Side) - Unreleased RHCP Song - The Getaway, 
Radiohead, Knives Out, 
Radiohead, Let Down, 
Radiohead, 2 + 2 = 5, 
Red Hot Chili Peppers, Bastards of Light, 
Radiohead, Lucky, 
Radiohead, No Surprises, 
Interpol, Obstacle 1, 
Red Hot Chili Peppers, Right on Time, 
Red Hot Chili Peppers, Nerve Flip, 
Red Hot Chili Peppers, Tear, 
Kendrick Lamar, Father Time, 
Swedish House Mafia, Moth To A Flame, 
Radiohead, Paranoid Android, 
Drake, Jimmy Cooks, 
Alex Turner, Stuck on the puzzle, 
Billy Idol, Bitter Taste, 
Karan Aujla, Mexico, 
Red Hot Chili Peppers, Tippa My Tongue, 
Radiohead, Climbing Up the Walls, 
Billy Joel, Vienna, 
Red Hot Chili Peppers, Eddie, 
Radiohead, Black Star, 
John Frusciante, Time Tonight, 
John Frusciante, Anne, 
Red Hot Chili Peppers, Peace and Love, 
Red Hot Chili Peppers, Reach Out, 
Red Hot Chili Peppers, Fake as Fu@k, 
Red Hot Chili Peppers, Bella, 
Red Hot Chili Peppers, My Cigarette, 
Red Hot Chili Peppers, Shoot Me a Smile, 
Red Hot Chili Peppers, Afterlife, 
Red Hot Chili Peppers, Roulette, 
Red Hot Chili Peppers, The Drummer, 
Red Hot Chili Peppers, Bag of Grins, 
Red Hot Chili Peppers, Carry Me Home, 
Red Hot Chili Peppers, In the Snow, 
Red Hot Chili Peppers, La La La La La La La La, 
Muse, Supermassive Black Hole, 
John Frusciante, The Past Recedes, 
Red Hot Chili Peppers, Handful, 
John Frusciante, A Name, 
Kings Of Leon, Sex on Fire, 
Incubus, Drive, 
Red Hot Chili Peppers, The Shape I'm Takin', 
John Frusciante, The Real, 
Radiohead, Fake Plastic Trees, 
Metro Boomin, Creepin', 
Metro Boomin, On Time, 
Radiohead, Pyramid Song, 
John Frusciante, Unchanging, 
Radiohead, I Might Be Wrong, 
llllphaserllll, Red Hot Chili Peppers - Save This Lady - B-Side [HD], 
The Voidz, Did My Best, 
Radiohead, Man of War, 
llllphaserllll, Red Hot Chili Peppers - Joe - B-Side [HD], 
Foo Fighters, Everlong, 
Radiohead, Blow Out, 
The Fray, How to Save a Life, 
Dave, Trojan Horse, 
Dave, Sprinter, 
Dave, Our 25th Birthday, 
Dave, UK Rap, 
DaftPunkVEVO, Infinity Repeating (2013 Demo) (feat. Julian Casablancas+The ..., 
Bohemian00Rhapsody, Red Hot Chili Peppers - Eskimo (Fortune Faded B-Side), 
